"filename", "language", "Java", "XML", "Java Properties", "Markdown", "comment", "blank", "total"
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\classes\me\vigus\red\discordbot\command\CustomEmbedBuilder.class", "Java", 64, 0, 0, 0, 0, 1, 65
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\classes\me\vigus\red\discordbot\command\commands\AboutMe.class", "Java", 20, 0, 0, 0, 0, 1, 21
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\classes\me\vigus\red\discordbot\command\commands\BadgeGameLink$GameAmmount.class", "Java", 23, 0, 0, 0, 0, 0, 23
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\classes\me\vigus\red\discordbot\command\commands\BadgeGameLink.class", "Java", 85, 0, 0, 0, 0, 0, 85
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\classes\me\vigus\red\discordbot\command\commands\Check.class", "Java", 154, 0, 0, 0, 0, 2, 156
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\classes\me\vigus\red\discordbot\command\commands\FavouriteItems.class", "Java", 69, 0, 0, 0, 0, 0, 69
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\classes\me\vigus\red\discordbot\command\commands\FriendGroupLink$GroupsAmmount.class", "Java", 46, 0, 0, 0, 0, 1, 47
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\classes\me\vigus\red\discordbot\command\commands\FriendGroupLink.class", "Java", 105, 0, 0, 0, 0, 0, 105
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\classes\me\vigus\red\discordbot\command\commands\Get.class", "Java", 56, 0, 0, 0, 0, 0, 56
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\classes\me\vigus\red\discordbot\command\commands\InventoryItems.class", "Java", 67, 0, 0, 0, 0, 0, 67
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\classes\me\vigus\red\discordbot\command\commands\View.class", "Java", 38, 0, 0, 0, 0, 0, 38
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\classes\me\vigus\red\discordbot\command\interfaces\Buttons.class", "Java", 2, 0, 0, 0, 0, 0, 2
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\classes\me\vigus\red\discordbot\command\interfaces\MessageCommand.class", "Java", 2, 0, 0, 0, 0, 0, 2
